date,product_id,category,demand,stock_level,safety_stock,reorder_point,lead_time,criticality,unit_cost,supplier_id,batch_number,expiry_date,storage_temp
2024-02-21,1,Emergency,200,715,214,429,2,4,799.1096733560773,3,B202402-8278,2025-03-25,Room Temp
2024-02-22,1,Emergency,179,536,214,429,2,4,580.2586433526876,3,B202402-1551,2025-09-05,Room Temp
2024-02-23,1,Emergency,137,715,214,429,2,4,981.8260222370583,5,B202402-2219,2026-01-29,-20°C
2024-02-24,1,Emergency,153,562,214,429,1,4,73.72598224412113,5,B202402-9290,2026-01-10,Room Temp
2024-02-25,1,Emergency,101,461,214,429,2,4,386.56111984416697,5,B202402-5028,2024-10-17,Room Temp
2024-02-26,1,Emergency,190,715,214,429,2,4,697.0184774048492,3,B202402-1569,2025-10-20,2-8°C
2024-02-27,1,Emergency,170,545,214,429,1,4,271.348052625553,3,B202402-3196,2024-11-22,Room Temp
2024-02-28,1,Emergency,174,715,214,429,1,4,464.05988652243514,1,B202402-7340,2025-10-27,-20°C
2024-02-29,1,Emergency,162,553,214,429,2,4,996.4496541957049,2,B202402-5794,2025-12-03,Room Temp
2024-03-01,1,Emergency,220,715,214,429,1,4,207.9514132309941,4,B202403-1883,2024-10-04,2-8°C
2024-03-02,1,Emergency,175,540,214,429,1,4,442.63158381242755,4,B202403-5433,2025-09-26,-20°C
2024-03-03,1,Emergency,171,715,214,429,1,4,658.2936173859141,1,B202403-6965,2026-02-05,2-8°C
2024-03-04,1,Emergency,165,550,214,429,2,4,898.3981251927141,4,B202403-5915,2025-08-20,Room Temp
2024-03-05,1,Emergency,157,715,214,429,2,4,126.85664649569749,4,B202403-6047,2025-09-29,2-8°C
2024-03-06,1,Emergency,150,565,214,429,2,4,374.24632509755435,2,B202403-2965,2026-02-26,-20°C
2024-03-07,1,Emergency,109,456,214,429,1,4,980.5283414159196,4,B202403-7032,2026-01-06,Room Temp
2024-03-08,1,Emergency,143,715,214,429,2,4,122.26463192702508,4,B202403-4391,2025-09-22,-20°C
2024-03-09,1,Emergency,170,545,214,429,1,4,147.60190994754086,5,B202403-2115,2024-09-17,-20°C
2024-03-10,1,Emergency,127,715,214,429,1,4,48.32413869045276,1,B202403-6842,2025-07-15,Room Temp
2024-03-11,1,Emergency,151,564,214,429,1,4,697.7634928900465,2,B202403-5363,2025-03-23,-20°C
2024-03-12,1,Emergency,137,715,214,429,2,4,601.9684875518586,3,B202403-4794,2025-02-23,Room Temp
2024-03-13,1,Emergency,93,622,214,429,2,4,123.8812487516183,5,B202403-6950,2025-12-15,Room Temp
2024-03-14,1,Emergency,257,715,214,429,1,4,315.40124298447563,2,B202403-1103,2025-03-16,Room Temp
2024-03-15,1,Emergency,182,533,214,429,1,4,679.3599042769872,3,B202403-4286,2024-10-07,-20°C
2024-03-16,1,Emergency,97,436,214,429,1,4,125.22846380307452,4,B202403-7393,2025-11-14,-20°C
2024-03-17,1,Emergency,178,715,214,429,1,4,121.29353355523537,5,B202403-3382,2025-07-09,2-8°C
2024-03-18,1,Emergency,149,566,214,429,2,4,421.28477046919033,2,B202403-7179,2025-09-24,Room Temp
2024-03-19,1,Emergency,193,715,214,429,1,4,80.03399508150805,2,B202403-5458,2025-12-25,2-8°C
2024-03-20,1,Emergency,245,470,214,429,2,4,525.3260046438994,2,B202403-8421,2025-01-30,Room Temp
2024-03-21,1,Emergency,181,715,214,429,1,4,828.5450513237427,2,B202403-1085,2025-11-07,2-8°C
2024-03-22,1,Emergency,236,479,214,429,2,4,466.55101518468746,5,B202403-8792,2024-10-25,Room Temp
2024-03-23,1,Emergency,158,715,214,429,2,4,166.02506259990005,1,B202403-8376,2025-05-04,Room Temp
2024-03-24,1,Emergency,135,580,214,429,2,4,525.23018686266,2,B202403-8082,2024-10-08,2-8°C
2024-03-25,1,Emergency,100,480,214,429,2,4,364.9263629822985,3,B202403-5631,2025-12-25,-20°C
2024-03-26,1,Emergency,198,715,214,429,2,4,373.1377698205592,1,B202403-7878,2025-08-17,Room Temp
2024-03-27,1,Emergency,129,586,214,429,2,4,297.88633481645684,2,B202403-8807,2026-01-18,-20°C
2024-03-28,1,Emergency,229,715,214,429,2,4,431.825885569532,2,B202403-9159,2026-01-17,2-8°C
2024-03-29,1,Emergency,220,495,214,429,2,4,31.237673807184706,3,B202403-7651,2024-10-08,-20°C
2024-03-30,1,Emergency,62,433,214,429,1,4,21.193226060113297,5,B202403-1089,2024-11-23,2-8°C
2024-03-31,1,Emergency,117,715,214,429,2,4,625.2225499630654,5,B202403-1056,2024-10-10,-20°C
2024-04-01,1,Emergency,107,608,214,429,1,4,373.52443383176546,5,B202404-3577,2026-01-28,Room Temp
2024-04-02,1,Emergency,193,715,214,429,1,4,187.9343630680594,4,B202404-9461,2025-09-19,-20°C
2024-04-03,1,Emergency,127,588,214,429,1,4,897.7339328883563,3,B202404-8462,2025-09-30,2-8°C
2024-04-04,1,Emergency,166,715,214,429,2,4,846.2654222279596,2,B202404-3194,2026-01-18,Room Temp
2024-04-05,1,Emergency,172,543,214,429,2,4,128.67500999465153,5,B202404-2761,2025-05-25,-20°C
2024-04-06,1,Emergency,150,715,214,429,2,4,613.7173187811511,5,B202404-1174,2025-06-11,Room Temp
2024-04-07,1,Emergency,162,553,214,429,2,4,976.1053983447114,2,B202404-6476,2025-01-01,Room Temp
2024-04-08,1,Emergency,174,715,214,429,1,4,27.656521826246674,1,B202404-1749,2025-06-18,-20°C
2024-04-09,1,Emergency,97,618,214,429,2,4,481.9276228764968,1,B202404-3189,2025-09-06,Room Temp
2024-04-10,1,Emergency,265,715,214,429,2,4,787.5482337128916,1,B202404-1489,2026-03-13,Room Temp
2024-04-11,1,Emergency,220,495,214,429,1,4,80.91605249925594,1,B202404-9625,2025-05-27,2-8°C
2024-04-12,1,Emergency,75,715,214,429,2,4,49.79077083841824,4,B202404-6113,2025-05-25,-20°C
2024-04-13,1,Emergency,119,596,214,429,1,4,334.8862000529866,4,B202404-4616,2026-01-30,-20°C
2024-04-14,1,Emergency,126,470,214,429,2,4,521.3234435594456,3,B202404-3511,2025-12-17,-20°C
2024-04-15,1,Emergency,234,715,214,429,1,4,870.7775650949135,2,B202404-7842,2024-10-30,-20°C
2024-04-16,1,Emergency,230,485,214,429,1,4,268.5262312439166,1,B202404-2898,2025-02-28,2-8°C
2024-04-17,1,Emergency,223,715,214,429,1,4,428.53082199503115,3,B202404-7130,2025-05-05,Room Temp
2024-04-18,1,Emergency,164,551,214,429,1,4,843.0569680290678,2,B202404-1648,2025-08-10,Room Temp
2024-04-19,1,Emergency,235,715,214,429,1,4,227.64534464171734,1,B202404-2598,2024-11-27,Room Temp
2024-04-20,1,Emergency,132,583,214,429,1,4,452.7186450830631,5,B202404-1998,2025-10-29,2-8°C
2024-04-21,1,Emergency,157,715,214,429,1,4,714.8186011627508,5,B202404-8677,2024-11-17,2-8°C
2024-04-22,1,Emergency,139,576,214,429,2,4,870.5319034651632,3,B202404-9898,2025-06-16,-20°C
2024-04-23,1,Emergency,243,715,214,429,2,4,802.9991328446191,1,B202404-2696,2025-11-21,2-8°C
2024-04-24,1,Emergency,125,590,214,429,1,4,812.1420681674291,5,B202404-3362,2024-12-15,-20°C
2024-04-25,1,Emergency,174,715,214,429,2,4,958.6830703901775,1,B202404-9513,2025-04-07,2-8°C
2024-04-26,1,Emergency,164,551,214,429,1,4,912.5078496926436,5,B202404-5591,2026-02-21,2-8°C
2024-04-27,1,Emergency,272,715,214,429,1,4,544.0993678025309,4,B202404-7634,2025-12-20,-20°C
2024-04-28,1,Emergency,174,541,214,429,2,4,549.8907211672412,5,B202404-7485,2025-10-22,-20°C
2024-04-29,1,Emergency,272,715,214,429,2,4,137.65145868893785,1,B202404-3411,2025-11-17,-20°C
2024-04-30,1,Emergency,150,565,214,429,1,4,60.57066661845002,1,B202404-6384,2026-03-02,-20°C
2024-05-01,1,Emergency,62,503,214,429,1,4,781.9423340765585,2,B202405-1464,2025-05-02,Room Temp
2024-05-02,1,Emergency,177,715,214,429,2,4,829.2085627253728,3,B202405-1551,2025-07-21,-20°C
2024-05-03,1,Emergency,128,587,214,429,1,4,245.3660066737984,1,B202405-6754,2025-04-17,Room Temp
2024-05-04,1,Emergency,185,715,214,429,2,4,378.9522962762424,4,B202405-8488,2025-10-27,Room Temp
2024-05-05,1,Emergency,90,625,214,429,2,4,94.95013896587797,1,B202405-5941,2025-07-08,-20°C
2024-05-06,1,Emergency,234,715,214,429,2,4,218.1660366178855,5,B202405-4070,2025-10-08,2-8°C
2024-05-07,1,Emergency,157,558,214,429,1,4,309.07739935586244,4,B202405-8682,2025-11-28,-20°C
2024-05-08,1,Emergency,187,715,214,429,1,4,812.4894761606871,4,B202405-7351,2025-11-04,Room Temp
2024-05-09,1,Emergency,183,532,214,429,2,4,812.3546393608402,1,B202405-6720,2025-04-21,2-8°C
2024-05-10,1,Emergency,153,715,214,429,2,4,824.1104537405237,5,B202405-5293,2025-06-23,Room Temp
2024-05-11,1,Emergency,101,614,214,429,1,4,404.84391100899694,1,B202405-1368,2025-07-11,2-8°C
2024-05-12,1,Emergency,77,537,214,429,2,4,342.99101186657,3,B202405-6586,2025-04-04,2-8°C
2024-05-13,1,Emergency,145,715,214,429,1,4,281.8474716368886,3,B202405-9734,2026-03-30,-20°C
2024-05-14,1,Emergency,259,456,214,429,1,4,55.390266181640285,4,B202405-8529,2026-02-18,Room Temp
2024-05-15,1,Emergency,112,715,214,429,2,4,490.761205969254,5,B202405-8785,2025-04-01,2-8°C
2024-05-16,1,Emergency,173,542,214,429,1,4,949.1480409488416,2,B202405-9812,2025-08-05,2-8°C
2024-05-17,1,Emergency,192,715,214,429,2,4,466.5378334546375,1,B202405-8783,2025-11-19,Room Temp
2024-05-18,1,Emergency,145,570,214,429,1,4,728.0290478688198,4,B202405-5182,2025-10-04,Room Temp
2024-05-19,1,Emergency,227,715,214,429,2,4,163.8551940350219,4,B202405-1810,2026-04-26,-20°C
2024-05-20,1,Emergency,149,566,214,429,1,4,983.4094492376801,3,B202405-5665,2026-02-03,2-8°C
2024-05-21,1,Emergency,109,457,214,429,2,4,896.8944387570633,4,B202405-3807,2025-12-01,-20°C
2024-05-22,1,Emergency,255,715,214,429,1,4,714.8412065079533,3,B202405-7735,2025-02-15,Room Temp
2024-05-23,1,Emergency,217,498,214,429,2,4,828.4097406079825,1,B202405-5975,2025-02-11,2-8°C
2024-05-24,1,Emergency,165,715,214,429,1,4,701.6097985977674,5,B202405-2096,2026-05-07,Room Temp
2024-05-25,1,Emergency,155,560,214,429,2,4,564.1218380630006,3,B202405-7405,2025-12-11,2-8°C
2024-05-26,1,Emergency,156,715,214,429,1,4,168.06444373859094,3,B202405-3788,2025-09-13,-20°C
2024-05-27,1,Emergency,143,572,214,429,1,4,260.59629914939524,3,B202405-3244,2026-04-13,2-8°C
2024-05-28,1,Emergency,206,715,214,429,2,4,835.7184177425975,2,B202405-5332,2025-09-08,-20°C
2024-05-29,1,Emergency,57,658,214,429,1,4,733.8841264671105,4,B202405-2939,2025-10-24,2-8°C
2024-05-30,1,Emergency,134,524,214,429,2,4,726.1492282840769,5,B202405-3522,2025-04-23,2-8°C
2024-05-31,1,Emergency,186,715,214,429,2,4,517.180157279615,5,B202405-1413,2025-10-31,-20°C
2024-06-01,1,Emergency,204,511,214,429,2,4,516.4746328705855,4,B202406-6269,2025-07-28,Room Temp
2024-06-02,1,Emergency,183,715,214,429,1,4,696.1084920251758,4,B202406-6360,2026-02-28,Room Temp
2024-06-03,1,Emergency,274,441,214,429,2,4,715.1586657031211,4,B202406-2417,2025-04-16,2-8°C
2024-06-04,1,Emergency,148,715,214,429,2,4,630.4327127822728,3,B202406-8834,2025-06-01,2-8°C
2024-06-05,1,Emergency,104,611,214,429,2,4,862.7650802290664,2,B202406-6617,2025-12-02,-20°C
2024-06-06,1,Emergency,203,715,214,429,1,4,946.5987377298106,5,B202406-2684,2025-11-05,Room Temp
2024-06-07,1,Emergency,180,535,214,429,1,4,917.7763653797332,4,B202406-1747,2026-02-09,2-8°C
2024-06-08,1,Emergency,168,715,214,429,1,4,109.05601539825122,5,B202406-6208,2026-01-09,-20°C
2024-06-09,1,Emergency,136,579,214,429,1,4,39.53401060676383,3,B202406-3237,2025-04-10,-20°C
2024-06-10,1,Emergency,248,715,214,429,2,4,194.78621954397698,3,B202406-8366,2025-12-08,Room Temp
2024-06-11,1,Emergency,257,458,214,429,2,4,326.96526188651166,4,B202406-9550,2025-11-10,2-8°C
2024-06-12,1,Emergency,118,715,214,429,1,4,863.9233079789125,3,B202406-7253,2025-04-26,2-8°C
2024-06-13,1,Emergency,156,559,214,429,2,4,650.004494050116,2,B202406-8093,2025-07-01,2-8°C
2024-06-14,1,Emergency,154,715,214,429,2,4,534.85126506059,1,B202406-1494,2025-02-05,Room Temp
2024-06-15,1,Emergency,179,536,214,429,2,4,983.760025259724,1,B202406-8024,2024-12-14,2-8°C
2024-06-16,1,Emergency,174,715,214,429,2,4,326.65598417281285,4,B202406-1976,2025-12-27,2-8°C
2024-06-17,1,Emergency,129,586,214,429,1,4,50.01443809030851,1,B202406-9475,2026-05-31,-20°C
2024-06-18,1,Emergency,195,715,214,429,2,4,480.74661446004654,2,B202406-3874,2025-01-19,Room Temp
2024-06-19,1,Emergency,252,463,214,429,1,4,765.364147461594,4,B202406-3447,2025-02-05,-20°C
2024-06-20,1,Emergency,169,715,214,429,2,4,568.6069266539513,5,B202406-1561,2025-03-09,Room Temp
2024-06-21,1,Emergency,133,582,214,429,2,4,608.4217665540738,5,B202406-3995,2025-09-08,-20°C
2024-06-22,1,Emergency,150,432,214,429,2,4,141.25510526238443,5,B202406-8881,2024-12-20,Room Temp
2024-06-23,1,Emergency,82,715,214,429,2,4,995.2370086228913,4,B202406-6479,2026-01-27,-20°C
2024-06-24,1,Emergency,156,559,214,429,2,4,336.4560284759225,2,B202406-4977,2025-04-07,Room Temp
2024-06-25,1,Emergency,161,715,214,429,2,4,724.3928454932415,5,B202406-7652,2025-11-20,-20°C
2024-06-26,1,Emergency,105,610,214,429,2,4,486.48553691787953,2,B202406-4600,2025-11-18,2-8°C
2024-06-27,1,Emergency,162,448,214,429,1,4,520.3310749481042,1,B202406-7517,2025-12-04,2-8°C
2024-06-28,1,Emergency,114,715,214,429,2,4,594.6215044334393,1,B202406-7699,2025-05-12,-20°C
2024-06-29,1,Emergency,118,597,214,429,2,4,920.062098152234,5,B202406-1779,2025-12-17,-20°C
2024-06-30,1,Emergency,142,455,214,429,1,4,261.0308873729231,1,B202406-1728,2025-10-31,-20°C
2024-07-01,1,Emergency,203,715,214,429,1,4,755.8694048083787,4,B202407-4438,2025-06-04,2-8°C
2024-07-02,1,Emergency,166,549,214,429,1,4,954.196260105051,4,B202407-6561,2025-09-28,2-8°C
2024-07-03,1,Emergency,110,439,214,429,2,4,202.71535218213882,5,B202407-7254,2026-04-05,2-8°C
2024-07-04,1,Emergency,199,715,214,429,1,4,994.5935684199659,1,B202407-1516,2026-02-16,-20°C
2024-07-05,1,Emergency,156,559,214,429,1,4,496.9915179022641,4,B202407-1203,2026-03-26,-20°C
2024-07-06,1,Emergency,98,461,214,429,2,4,428.4522528464129,3,B202407-4362,2025-01-20,-20°C
2024-07-07,1,Emergency,65,715,214,429,2,4,662.7243712007273,4,B202407-3108,2025-11-02,-20°C
2024-07-08,1,Emergency,214,501,214,429,1,4,154.93472625876194,1,B202407-4171,2026-05-04,-20°C
2024-07-09,1,Emergency,156,715,214,429,1,4,702.2076349197337,4,B202407-6235,2026-05-28,2-8°C
2024-07-10,1,Emergency,188,527,214,429,1,4,883.2899282385998,3,B202407-5635,2025-01-16,2-8°C
2024-07-11,1,Emergency,131,715,214,429,1,4,938.8920995657649,1,B202407-9306,2026-02-18,-20°C
2024-07-12,1,Emergency,138,577,214,429,2,4,10.543866991333966,4,B202407-4498,2026-02-11,Room Temp
2024-07-13,1,Emergency,88,489,214,429,2,4,51.98940644538103,1,B202407-8691,2025-09-16,Room Temp
2024-07-14,1,Emergency,175,715,214,429,1,4,909.2940209140752,4,B202407-9045,2026-05-21,2-8°C
2024-07-15,1,Emergency,137,578,214,429,2,4,924.4771815798878,1,B202407-3630,2026-01-19,Room Temp
2024-07-16,1,Emergency,196,715,214,429,1,4,322.47065439689413,3,B202407-6160,2026-03-11,2-8°C
2024-07-17,1,Emergency,98,617,214,429,2,4,227.65257482554367,5,B202407-9333,2025-10-22,2-8°C
2024-07-18,1,Emergency,132,485,214,429,1,4,186.5602253150152,1,B202407-3469,2026-03-23,2-8°C
2024-07-19,1,Emergency,194,715,214,429,2,4,975.917484293415,4,B202407-8028,2026-07-17,Room Temp
2024-07-20,1,Emergency,141,574,214,429,1,4,102.17703413705391,1,B202407-8890,2025-03-29,2-8°C
2024-07-21,1,Emergency,130,444,214,429,1,4,818.7276916670152,5,B202407-9786,2026-02-04,Room Temp
2024-07-22,1,Emergency,131,715,214,429,2,4,109.82629308223297,3,B202407-6461,2026-06-18,-20°C
2024-07-23,1,Emergency,133,582,214,429,2,4,418.72781314275386,1,B202407-5903,2025-07-10,Room Temp
2024-07-24,1,Emergency,89,493,214,429,2,4,210.96529178251055,3,B202407-9919,2025-10-17,-20°C
2024-07-25,1,Emergency,253,715,214,429,2,4,190.87675700360236,5,B202407-5600,2026-02-02,2-8°C
2024-07-26,1,Emergency,196,519,214,429,2,4,795.1324459689514,1,B202407-2053,2025-06-16,Room Temp
2024-07-27,1,Emergency,160,715,214,429,2,4,173.22361859324198,3,B202407-5427,2026-06-03,2-8°C
2024-07-28,1,Emergency,135,580,214,429,1,4,86.49419209008876,3,B202407-5722,2026-01-26,-20°C
2024-07-29,1,Emergency,76,504,214,429,2,4,280.60895583110306,5,B202407-1291,2026-04-21,Room Temp
2024-07-30,1,Emergency,159,715,214,429,2,4,623.0826955651645,3,B202407-7164,2025-03-20,Room Temp
2024-07-31,1,Emergency,165,550,214,429,1,4,385.38365898744723,2,B202407-2282,2026-01-23,-20°C
2024-08-01,1,Emergency,153,715,214,429,1,4,590.4535063454192,4,B202408-2114,2025-03-16,Room Temp
2024-08-02,1,Emergency,133,582,214,429,2,4,842.3179498012335,1,B202408-3299,2025-09-26,2-8°C
2024-08-03,1,Emergency,83,499,214,429,1,4,822.4320265971435,3,B202408-3826,2025-05-30,Room Temp
2024-08-04,1,Emergency,92,715,214,429,2,4,343.54251987440824,5,B202408-6973,2026-01-23,Room Temp
2024-08-05,1,Emergency,146,569,214,429,1,4,717.4698246885156,3,B202408-7123,2026-02-06,2-8°C
2024-08-06,1,Emergency,150,715,214,429,1,4,986.6698091517569,3,B202408-3960,2025-02-18,Room Temp
2024-08-07,1,Emergency,138,577,214,429,1,4,43.80919429564423,1,B202408-1014,2026-02-07,-20°C
2024-08-08,1,Emergency,154,715,214,429,1,4,260.1518201610242,2,B202408-5065,2025-06-03,2-8°C
2024-08-09,1,Emergency,94,621,214,429,1,4,852.0102970330962,2,B202408-5721,2025-03-12,2-8°C
2024-08-10,1,Emergency,152,469,214,429,2,4,292.8616191775515,2,B202408-2694,2025-08-19,2-8°C
2024-08-11,1,Emergency,134,715,214,429,1,4,245.87657187222868,5,B202408-4379,2026-04-26,2-8°C
2024-08-12,1,Emergency,133,582,214,429,2,4,408.478697407727,4,B202408-3111,2025-03-23,2-8°C
2024-08-13,1,Emergency,147,435,214,429,2,4,703.3722458058949,2,B202408-4793,2025-04-27,-20°C
2024-08-14,1,Emergency,124,715,214,429,1,4,864.145709021895,5,B202408-7547,2025-05-04,-20°C
2024-08-15,1,Emergency,175,540,214,429,2,4,666.4308100058405,4,B202408-1749,2026-08-02,-20°C
2024-08-16,1,Emergency,154,715,214,429,1,4,471.3714197098528,3,B202408-1011,2025-03-09,-20°C
2024-08-17,1,Emergency,72,643,214,429,2,4,402.5879176562056,2,B202408-4269,2025-10-21,-20°C
2024-08-18,1,Emergency,96,547,214,429,2,4,156.79122279898812,4,B202408-6040,2026-08-10,-20°C
2024-08-19,1,Emergency,156,715,214,429,2,4,624.8767618311354,5,B202408-2328,2025-09-10,2-8°C
2024-08-20,1,Emergency,133,582,214,429,1,4,491.4359541949569,4,B202408-8782,2025-08-29,-20°C
2024-08-21,1,Emergency,219,715,214,429,2,4,340.36928238055907,1,B202408-5877,2025-03-10,2-8°C
2024-08-22,1,Emergency,172,543,214,429,2,4,352.1146078860486,1,B202408-3932,2025-06-01,Room Temp
2024-08-23,1,Emergency,150,715,214,429,1,4,723.8559544151453,1,B202408-5416,2025-07-24,-20°C
2024-08-24,1,Emergency,142,573,214,429,1,4,792.3689271817132,3,B202408-9915,2026-01-21,Room Temp
2024-08-25,1,Emergency,123,450,214,429,1,4,982.911796843251,1,B202408-3793,2026-02-07,-20°C
2024-08-26,1,Emergency,134,715,214,429,1,4,882.8649164471458,4,B202408-9059,2026-06-14,-20°C
2024-08-27,1,Emergency,111,604,214,429,2,4,86.0591978352138,1,B202408-5764,2025-10-25,Room Temp
2024-08-28,1,Emergency,64,540,214,429,2,4,90.13032536112087,2,B202408-7347,2026-08-19,2-8°C
2024-08-29,1,Emergency,61,479,214,429,1,4,137.14702883806603,5,B202408-5367,2025-10-18,-20°C
2024-08-30,1,Emergency,104,715,214,429,1,4,414.77934982787167,2,B202408-8550,2026-03-31,-20°C
2024-08-31,1,Emergency,148,567,214,429,2,4,559.525445658989,3,B202408-5555,2025-07-13,2-8°C
2024-09-01,1,Emergency,103,464,214,429,1,4,103.67412216399369,4,B202409-9052,2026-05-20,-20°C
2024-09-02,1,Emergency,120,715,214,429,2,4,102.97620568626613,4,B202409-3900,2026-02-27,Room Temp
2024-09-03,1,Emergency,121,594,214,429,2,4,149.11049845877434,1,B202409-9557,2026-03-28,2-8°C
2024-09-04,1,Emergency,164,430,214,429,2,4,632.1536621260904,2,B202409-1806,2025-08-22,2-8°C
2024-09-05,1,Emergency,30,715,214,429,1,4,853.9738676053684,5,B202409-4136,2025-07-10,2-8°C
